author_handle,month,day,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,1,1,0,81,110.90123456790124,8983,27.049382716049383,2191,221.07407407407408,17907,16.012345679012345,1297
ABC,1,1,1,5,148.0,740,17.8,89,397.6,1988,11.0,55
ABC,1,2,0,52,118.98076923076923,6187,49.01923076923077,2549,223.09615384615384,11601,37.57692307692308,1954
ABC,1,2,1,3,215.66666666666666,647,29.0,87,653.3333333333334,1960,18.666666666666668,56
ABC,1,3,0,67,133.0597014925373,8915,32.73134328358209,2193,218.0,14606,27.746268656716417,1859
ABC,1,3,1,3,211.0,633,25.0,75,503.6666666666667,1511,23.333333333333332,70
ABC,1,4,0,89,142.59550561797752,12691,34.80898876404494,3098,252.65168539325842,22486,29.0,2581
ABC,1,4,1,2,190.5,381,159.5,319,389.5,779,104.0,208
ABC,1,5,0,91,116.02197802197803,10558,31.395604395604394,2857,229.53846153846155,20888,23.47252747252747,2136
ABC,1,5,1,4,122.75,491,11.75,47,318.0,1272,12.75,51
ABC,1,6,0,97,201.81443298969072,19576,40.21649484536083,3901,298.89690721649487,28993,34.123711340206185,3310
ABC,1,6,1,12,714.0833333333334,8569,65.25,783,1429.6666666666667,17156,74.91666666666667,899
ABC,1,7,0,80,99.025,7922,33.2125,2657,214.3375,17147,16.925,1354
ABC,1,7,1,8,128.75,1030,37.0,296,323.0,2584,17.75,142
ABC,1,8,0,84,112.70238095238095,9467,37.142857142857146,3120,213.52380952380952,17936,18.583333333333332,1561
ABC,1,8,1,4,306.25,1225,116.5,466,745.5,2982,36.25,145
ABC,1,9,0,94,108.7872340425532,10226,34.40425531914894,3234,240.91489361702128,22646,17.53191489361702,1648
ABC,1,9,1,7,235.28571428571428,1647,19.428571428571427,136,545.7142857142857,3820,30.142857142857142,211
ABC,1,10,0,89,146.86516853932585,13071,31.01123595505618,2760,256.3820224719101,22818,45.49438202247191,4049
ABC,1,10,1,8,209.125,1673,27.0,216,382.5,3060,39.75,318
ABC,1,11,0,118,396.60169491525426,46799,41.28813559322034,4872,793.2796610169491,93607,53.49152542372882,6312
ABC,1,11,1,24,3742.875,89829,90.5,2172,6913.208333333333,165917,465.5,11172
ABC,1,12,0,95,546.0526315789474,51875,38.94736842105263,3700,1068.621052631579,101519,83.3157894736842,7915
ABC,1,12,1,18,2066.9444444444443,37205,54.333333333333336,978,4363.833333333333,78549,207.0,3726
ABC,1,13,0,93,224.86021505376345,20912,33.193548387096776,3087,439.38709677419354,40863,37.44086021505376,3482
ABC,1,13,1,11,159.0,1749,34.72727272727273,382,515.4545454545455,5670,25.0,275
ABC,1,14,0,80,104.4625,8357,36.1,2888,199.0625,15925,15.6125,1249
ABC,1,14,1,4,181.5,726,23.75,95,483.75,1935,28.75,115
ABC,1,15,0,76,199.10526315789474,15132,56.25,4275,333.64473684210526,25357,25.38157894736842,1929
ABC,1,15,1,1,40.0,40,17.0,17,73.0,73,5.0,5
ABC,1,16,0,86,394.0813953488372,33891,60.348837209302324,5190,641.1511627906976,55139,144.37209302325581,12416
ABC,1,16,1,8,267.625,2141,57.25,458,412.5,3300,49.875,399
ABC,1,17,0,93,157.1720430107527,14617,44.59139784946237,4147,299.505376344086,27854,24.225806451612904,2253
ABC,1,17,1,8,183.625,1469,18.5,148,410.125,3281,22.375,179
