author_handle,month,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,1,0,2830,230.49257950530034,652294,52.92402826855124,149775,443.63604240282683,1255490,45.43992932862191,128595
ABC,1,1,243,849.551440329218,206441,68.90534979423869,16744,1717.8312757201645,417433,106.60493827160494,25905
ABC,2,0,2413,217.83257355988397,525630,65.65105677579776,158416,439.0982179859096,1059544,44.74678823041857,107974
ABC,2,1,235,624.9702127659574,146868,79.15744680851064,18602,1276.7446808510638,300035,110.38723404255319,25941
ABC,3,0,2565,195.59220272904483,501694,58.333333333333336,149625,377.4233918128655,968091,39.61910331384016,101623
ABC,3,1,167,190.1676646706587,31758,55.73652694610779,9308,430.23353293413174,71849,52.035928143712574,8690
ABC,4,0,2302,180.91529105125977,416467,49.5868809730669,114149,333.74500434404865,768281,42.631190269331015,98137
ABC,4,1,160,346.09375,55375,39.7875,6366,625.6625,100106,60.2625,9642
ABC,5,0,2473,184.83906186817632,457107,49.887585928022645,123372,368.69672462596037,911787,34.62515163768702,85628
ABC,5,1,164,214.03048780487805,35101,52.0609756097561,8538,470.4573170731707,77155,53.359756097560975,8751
ABC,6,0,2404,157.7940931780366,379337,54.796173044925126,131730,315.91638935108153,759463,31.27079866888519,75175
ABC,6,1,154,565.4350649350649,87077,66.53896103896103,10247,1201.1948051948052,184984,130.42857142857142,20086
ABC,7,0,2184,153.01190476190476,334178,53.71932234432234,117323,320.57554945054943,700137,35.36080586080586,77228
ABC,7,1,140,256.1642857142857,35863,59.142857142857146,8280,812.5357142857143,113755,59.49285714285714,8329
ABC,8,0,2323,242.01808006887646,562208,66.22255703831253,153835,505.1588463194145,1173484,48.993973310374514,113813
ABC,8,1,218,246.87155963302752,53818,57.825688073394495,12606,621.3807339449542,135461,38.293577981651374,8348
ABC,9,0,2337,256.62644415917845,599736,64.56653829696192,150892,505.3620025673941,1181031,56.39281129653402,131790
ABC,9,1,151,230.40397350993376,34791,53.13245033112583,8023,568.3907284768212,85827,33.728476821192054,5093
