author_handle,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,0,28639,200.9392786060966,5754700,59.32728098048116,1699074,412.42913509549913,11811558,43.70096721254234,1251552
ABC,1,2444,363.4979541734861,888389,63.89443535188216,156158,862.3044189852701,2107472,68.87684124386251,168335
BBCWorld,0,11387,151.25485202423818,1722339,39.09106876262405,445130,239.95082111179414,2732320,29.476157021164486,335645
BBCWorld,1,1264,179.29034810126583,226623,38.40743670886076,48547,300.82120253164555,380238,28.656645569620252,36222
BreitbartNews,0,3127,180.54237288135593,564556,133.54557083466582,417597,398.45954589063,1245983,23.598976654940838,73794
BreitbartNews,1,3751,207.61716875499866,778772,146.5505198613703,549711,456.05438549720077,1710660,25.85977072780592,97000
CBSNews,0,30493,73.52589118814154,2242025,36.7764077001279,1121423,112.05686551011708,3416950,18.737546322106713,571364
CBSNews,1,3770,80.37851458885942,303027,30.43023872679045,114722,140.1474801061008,528356,16.841114058355437,63491
CNN,0,38710,292.52516145698786,11323649,139.38336347197108,5395530,619.1775251872901,23968362,65.23670886075949,2525313
CNN,1,9086,319.31928241250273,2901335,114.60609729253797,1041311,704.7645828747524,6403491,66.72342064714947,606249
FoxNews,0,31290,246.63985298817514,7717361,196.09536593160755,6135824,739.0008948545861,23123338,40.268616171300735,1260005
FoxNews,1,5276,313.00815011372254,1651431,205.36429112964368,1083502,1077.5352539802882,5685076,43.068802122820316,227231
HuffPost,1,2174,80.5229990800368,175057,27.598436062557496,59999,208.70883164673413,453733,19.262649494020238,41877
HuffPost,0,7851,115.24162527066616,904762,55.11450770602471,432704,284.09591134887273,2230437,30.904980257292063,242635
MSNBC,0,8935,135.53273642977055,1210985,114.48628987129267,1022935,275.99630665920535,2466027,22.01869054280918,196737
MSNBC,1,1334,121.0014992503748,161416,104.98425787106447,140049,257.1116941529235,342987,26.272863568215893,35048
NBCNews,0,7851,99.22188256273087,778991,60.866768564514075,477865,169.0745128009171,1327404,30.794548465163672,241768
NBCNews,1,1580,64.31518987341772,101618,46.289240506329115,73137,125.37468354430379,198092,27.789240506329115,43907
NPR,0,6043,111.58828396491809,674328,23.470296210491476,141831,202.7469799768327,1225200,20.401787191792156,123288
NPR,1,1769,100.74335782928208,178215,18.095534200113057,32011,189.94347088750706,336010,17.021481062747316,30111
WSJ,0,36024,53.81850988230069,1938758,15.942094159449256,574298,76.01152009771263,2738239,11.673662003109039,420532
WSJ,1,7248,44.111616997792495,319721,11.00510485651214,79765,77.27842163355409,560114,10.645281456953642,77157
nytimes,0,25954,281.83644139631656,7314783,72.92278646836711,1892638,486.14040225013485,12617288,52.883062341064964,1372527
nytimes,1,10992,181.75427583697234,1997843,42.134552401746724,463143,383.4012008733624,4214346,32.098526200873366,352827
washingtonpost,0,34563,183.9876457483436,6359165,65.8911263489859,2277395,293.17585279055635,10133037,34.09897867661951,1178563
washingtonpost,1,10786,114.80660114963842,1238304,42.57722974225848,459238,198.91896903393288,2145540,21.06925644353792,227253
